t,pend,servo,mode,pwm,v
49.124,-2.99,-6.86,5,35,14.74
49.22,0.35,-6.33,5,-26,14.77
49.303,3.69,-5.27,5,-26,14.76
49.389,2.64,-5.62,5,28,14.76
49.472,-1.41,-6.86,5,29,14.75
49.551,-2.99,-6.68,5,29,14.74
49.621,-3.16,-7.03,5,35,14.74
49.702,-0.35,-6.86,5,-25,14.77
49.802,3.52,-5.45,5,-33,14.76
49.894,2.81,-5.62,5,28,14.77
49.979,-1.41,-6.68,5,29,14.76
50.056,-2.81,-6.33,5,35,14.75
50.145,-2.81,-6.68,5,-33,14.76
50.22,0.53,-5.8,5,-26,14.76
50.301,3.52,-4.75,5,-26,14.76
50.383,2.46,-5.1,5,28,14.76
50.465,-1.05,-6.15,5,28,14.76
50.547,-2.64,-6.15,5,35,14.74
50.633,-2.81,-6.86,5,35,14.73
50.731,0.18,-6.33,5,-26,14.76
50.816,3.87,-5.1,5,-33,14.76
50.894,2.46,-5.8,5,28,14.75
50.971,-1.05,-6.5,5,28,14.76
51.056,-2.64,-6.33,5,35,14.77
51.134,-2.99,-6.68,5,35,14.74
51.229,0.7,-5.8,5,-26,14.76
51.327,3.69,-4.75,5,-34,14.77
51.403,1.93,-5.45,5,28,14.76
51.476,-1.41,-6.33,5,28,14.77
51.553,-2.99,-6.33,5,28,14.74
51.625,-3.16,-6.86,5,35,14.74
51.701,-0.53,-6.68,5,-25,14.76
51.774,3.16,-5.27,5,-26,14.76
51.853,3.52,-5.45,5,28,14.76
51.94,0.0,-6.5,5,28,14.76
52.034,-2.81,-6.68,5,35,14.72
52.109,-3.16,-6.86,5,35,14.74
52.184,-1.41,-6.86,5,-25,14.76
52.262,2.81,-5.27,5,-26,14.76
52.337,3.69,-4.92,5,-34,14.74
52.44,-0.35,-6.15,5,28,14.68
52.521,-2.64,-6.33,5,28,14.75
